"","name","decimalLatitude","decimalLongitude","scientificName","family","genus","species","year","month","day","recordedBy","identifiedBy","sex"
"2051","Pipistrellus pygmaeus",42.57,-4.77,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2052","Pipistrellus pygmaeus",42.950001,-3.55,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2053","Pipistrellus pygmaeus",40.849998,-5.67,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2054","Pipistrellus pygmaeus",42.5,-3.06,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2055","Pipistrellus pipistrellus",40.959999,-4.01,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2056","Pipistrellus pipistrellus",40.049999,-6.83,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2057","Pipistrellus pipistrellus",39.669998,-5.74,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2058","Pipistrellus pipistrellus",43.130001,-3.18,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2059","Pipistrellus maderensis",28.42,-16.790001,"Pipistrellus maderensis (Dobson, 1878)","Vespertilionidae","Pipistrellus","Pipistrellus maderensis",2007,NA,NA,NA,NA,NA
"2060","Pipistrellus pipistrellus",40.119999,-5.99,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2061","Pipistrellus pipistrellus",39.32,-5.15,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2062","Pipistrellus pipistrellus",42.400002,-4.52,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2063","Plecotus auritus",42.950001,-2.57,"Plecotus auritus (Linnaeus, 1758)","Vespertilionidae","Plecotus","Plecotus auritus",2007,NA,NA,NA,NA,NA
"2064","Plecotus teneriffae",28.33,-16.48,"Plecotus teneriffae Barrett-Hamilton, 1907","Vespertilionidae","Plecotus","Plecotus teneriffae",2007,NA,NA,NA,NA,NA
"2065","Pipistrellus pygmaeus",41.68,-3.78,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2066","Pipistrellus pygmaeus",37,-3.62,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2067","Plecotus auritus",39.790001,4.34,"Plecotus auritus (Linnaeus, 1758)","Vespertilionidae","Plecotus","Plecotus auritus",2007,NA,NA,NA,NA,NA
"2068","Pipistrellus pygmaeus",41.48,-6.31,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2069","Plecotus austriacus",41.869999,-3.54,"Plecotus austriacus (J.Fischer, 1829)","Vespertilionidae","Plecotus","Plecotus austriacus",2007,NA,NA,NA,NA,NA
"2070","Pipistrellus pygmaeus",42.32,-3.55,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2071","Pipistrellus pygmaeus",43.290001,-4.79,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2072","Pipistrellus pygmaeus",42.220001,-4.03,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2073","Pipistrellus pygmaeus",42.650002,-6.5,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
